Date,THY,AKBANK,TURKCELL
7/08/2017,0.022547893,0.006628824,0.001584829
8/08/2017,-0.002205017,-0.001881478,0.004746661
9/08/2017,-0.014364653,-0.017907619,-0.001574445
10/08/2017,-0.008968601,-0.008637168,0.003154458
11/08/2017,0.01809953,-0.015488949,0.003144639
14/08/2017,0.055555556,0.029498567,0.013322944
15/08/2017,-0.023157923,-0.02387776,-0.015467926
16/08/2017,0.002155222,0,0.006284137
17/08/2017,0,-0.006849352,-0.001561124
18/08/2017,-0.004301071,-0.003940791,-0.009382284
21/08/2017,0.014038889,0.008902007,0.014996056
22/08/2017,0.018104374,0,0.010886466
23/08/2017,-0.01046029,0.00490187,0.02230751
24/08/2017,0.006342539,0.008780536,-0.007524275
25/08/2017,0.014705818,0.010638355,-0.009855927
28/08/2017,0.022774355,0.004784601,0.013782425
29/08/2017,-0.011133568,-0.003809431,0.004531748
30/08/2017,0,0,0
31/08/2017,-0.001023565,-0.011472337,-0.006766813
1/09/2017,0,0,0
4/09/2017,0,0,0
5/09/2017,-0.00512297,0,-0.008327249
6/09/2017,0.012358382,-0.007736986,-0.001526662
7/09/2017,0.021363178,-0.01072119,-0.007645175
8/09/2017,-0.014940201,-0.011822607,-0.002311212
11/09/2017,0.034378078,0.010967157,0.018532826
12/09/2017,0.023460482,0.004930758,0.014404854
13/09/2017,-0.042024883,-0.010794723,-0.02466377
14/09/2017,-0.010967065,0.011904707,-0.011494173
15/09/2017,-0.011088675,0.002941076,-0.012490897
18/09/2017,-0.055045865,-0.005865018,-0.014646082
19/09/2017,-0.006472537,-0.025565292,0.006606135
20/09/2017,0.011943502,-0.006054522,0.004101725
21/09/2017,-0.008583683,-0.014213334,-0.013071842
22/09/2017,0.015151553,0.022657117,0
25/09/2017,-0.065031946,-0.013091592,0.002483364
26/09/2017,0.026225716,0.01122455,-0.002477212
27/09/2017,-0.044444402,-0.057517723,0.001655711
28/09/2017,0.036046448,0.011777238,0.03140489
29/09/2017,-0.017957334,-0.005291034,0.016826774
2/10/2017,0.035428619,0.006383013,-0.014972196
3/10/2017,-0.013245125,-0.001057088,-0.013599986
4/10/2017,0.02684572,0.017989327,0.000810871
5/10/2017,-0.004357294,-0.010394882,0.032415127
6/10/2017,0.016411336,-0.006302555,0.00941904
9/10/2017,-0.092572622,-0.028541192,-0.010108888
10/10/2017,0.027283456,0.030467999,0.009426537
11/10/2017,0.021940016,-0.004224013,0.02568087
12/10/2017,0.031638387,0.027571667,0.027314071
13/10/2017,0.002190526,0.001031875,-0.002954175
16/10/2017,0.021858008,-0.007216412,0.006666725
17/10/2017,0.014973196,-0.002076854,0.03826343
18/10/2017,0.011591213,-0.002081115,0.005669584
19/10/2017,0.035416582,0.026068713,-0.006342291
20/10/2017,-0.006036164,-0.005081208,-0.002836933
23/10/2017,0,-0.027579188,-0.004267462
24/10/2017,0,-0.001050426,0.013571313
25/10/2017,0.016194316,0.031545786,-0.011275415
26/10/2017,-0.016932279,-0.018348661,-0.004276675
27/10/2017,0.023302989,-0.004153647,0.026485413
30/10/2017,0.010891055,0.011470157,-0.01115747
31/10/2017,0.01665035,0.031958876,-0.000705427
1/11/2017,0.012524096,0.03896101,0.052223091
2/11/2017,-0.004757392,-0.003846175,-0.0469483
3/11/2017,-0.002868043,-0.03667939,-0.014778367
6/11/2017,0.059443899,0.033066067,0.030714319
7/11/2017,-0.04253396,-0.025218253,-0.00346509
8/11/2017,-0.002835514,-0.021890545,-0.025730093
9/11/2017,-0.003791466,-0.019328749,0.004996328
10/11/2017,-0.047573738,0,-0.01633508
13/11/2017,-0.021978048,0.015560313,0.004332079
14/11/2017,0.066394241,0.011236015,0.017253747
15/11/2017,-0.032566974,-0.027272811,0.007067228
16/11/2017,0,-0.003115343,-0.000701875
17/11/2017,0.035643529,-0.004166565,0.002809042
20/11/2017,-0.018164396,-0.049163256,-0.007703206
21/11/2017,0.051606593,-0.003300283,0.016231589
22/11/2017,0.027777795,0.025386188,-0.010416587
23/11/2017,0.013513479,-0.032292646,0.010526234
24/11/2017,0.012444475,-0.013348302,0
27/11/2017,0.039508323,0.00338234,-0.01736112
28/11/2017,-0.05574323,-0.016853956,0.000706662
29/11/2017,0.064400652,0.018285677,0.036016918
30/11/2017,0.030252153,0.008978724,0.036809805
1/12/2017,0.019575837,-0.018909935,-0.009861858
4/12/2017,0.017600021,0.019274413,-0.010624208
5/12/2017,0.006289302,0.010011111,0.010738294
6/12/2017,-0.005468801,-0.020925223,-0.007968115
7/12/2017,0.045561736,0.00337473,0
8/12/2017,0.021036794,0.024663675,0.005354772
11/12/2017,-0.012509203,0.022975792,0.019973297
12/12/2017,0.035767477,0,-0.000652614
13/12/2017,-0.017985612,-0.006417147,0.012410163
14/12/2017,0.055677674,0.018299347,0
15/12/2017,-0.010409412,-0.01162797,-0.013655429
18/12/2017,0.025946696,0.009625721,0.02088919
19/12/2017,0.017771717,-0.007415294,-0.007920631
20/12/2017,0.017461334,0,-0.021956192
21/12/2017,0.019141912,0.003201725,0.02312932
22/12/2017,-0.018782381,-0.005319178,-0.001994719
25/12/2017,-0.009900965,0.004278098,-0.01265826
26/12/2017,0.007999992,0.002129937,0.022942038
27/12/2017,0.017195782,-0.001062705,-0.013852352
28/12/2017,0.022106642,0.035106384,0.024080415
29/12/2017,-0.001908441,0.012333119,0.011103729
1/01/2018,0,0,0
2/01/2018,0.024856619,0.024365491,0.006460099
3/01/2018,0.007462739,-0.014866165,-0.030808784
4/01/2018,0.005555565,-0.010060535,-0.019867537
5/01/2018,0.002455433,0.02134158,0.022297243
8/01/2018,-0.002449419,-0.010945214,0.003304651
9/01/2018,-0.011663629,-0.01307854,-0.023715402
10/01/2018,-0.052795053,-0.018348661,-0.016194403
11/01/2018,0.026885236,0.006230563,-0.005486884
12/01/2018,-0.010217104,0.011351908,-0.011724008
15/01/2018,-0.056129025,-0.022448978,-0.01186334
16/01/2018,0.059466841,0.027139771,0.014124285
17/01/2018,-0.003225819,0.026422908,0.04805007
18/01/2018,-0.005825253,0.004950404,0.046511762
19/01/2018,-0.024088535,-0.013793061,-0.02095233
22/01/2018,0.028018685,0.020979014,0.042152903
23/01/2018,0.013627517,0.011741629,0.049160009
24/01/2018,-0.007042232,0.041586183,-0.017200428
25/01/2018,-0.020631892,-0.01114212,-0.013880605
26/01/2018,0.014483231,0.04037558,0.006119947
29/01/2018,0.016223232,0,0.007299266
30/01/2018,0.002554276,-0.026173211,-0.037439664
31/01/2018,0.049681512,0.012048146,-0.020702661
1/02/2018,0.018203953,-0.031135588,-0.002562306
2/02/2018,-0.008939304,0.006616293,-0.007706971
5/02/2018,0.040889978,-0.004694861,-0.008414503
6/02/2018,-0.010398631,-0.010377302,-0.007180192
7/02/2018,-0.027437206,-0.008579645,-0.002629691
8/02/2018,-0.030612259,-0.024038476,0.028345439
9/02/2018,0.047058839,0.009852153,-0.03461559
12/02/2018,0.015966911,0.013658611,0.015936406
13/02/2018,-0.016298061,-0.004812345,0.001307111
14/02/2018,-0.023076887,-0.018375226,-0.020234937
15/02/2018,0.043004184,0.040394072,0.019320481
16/02/2018,0.00522649,0.000947087,0.000653633
19/02/2018,-0.007510062,-0.014191182,0.003918849
20/02/2018,-0.027939437,-0.018234263,-0.04944695
21/02/2018,0.056886156,0.02639299,0.030116343
22/02/2018,0.002266341,0.000952499,0.001328982
23/02/2018,0.03278688,0.00190296,0.008626524
26/02/2018,0.035577428,0.009496614,0.016447474
27/02/2018,-0.014799191,0.013170344,0.009061173
28/02/2018,0.019849831,-0.01114212,-0.020525891
1/03/2018,0.027354048,-0.011267554,-0.02423062
2/03/2018,-0.044034848,-0.009496727,-0.002013222
5/03/2018,0.003213683,-0.003835112,-0.008069934
6/03/2018,-0.078483681,0.014436922,0.012203301
7/03/2018,0.006373152,0.002846428,-0.002679168
8/03/2018,-0.025906778,-0.003784315,-0.006044281
9/03/2018,-0.011229346,-0.013295417,-0.002702782
12/03/2018,0.04781836,0.020211736,0.005420294
13/03/2018,0.025670213,-0.013207506,0.006738298
14/03/2018,0.024471665,-0.015296449,0.030120505
15/03/2018,-0.015743806,-0.012621312,0.011695977
16/03/2018,0.009376728,-0.006882909,-0.01284536
19/03/2018,-0.021857904,-0.023762502,-0.022120849
20/03/2018,0.053631341,0.020284086,0.001330512
21/03/2018,0.003711543,0.008946251,0.023255921
22/03/2018,-0.005810914,-0.006896472,-0.008441592
23/03/2018,-0.001062724,-0.016865051,-0.009168298
26/03/2018,0.021808503,-0.012109045,-0.004626685
27/03/2018,-0.011452333,-0.007150252,0.00199215
28/03/2018,-0.024749832,0.004291959,-0.021205847
29/03/2018,0.047516152,0.018162324,0.022342366
30/03/2018,-0.01030922,0.006295955,0.002648926
2/04/2018,-0.007812579,-0.012513008,0.000660462
3/04/2018,0.019422617,0.002111747,0.009240998
4/04/2018,-0.003604516,0.010537567,-0.003270148
5/04/2018,0.006201495,0.016684011,0.000656363
6/04/2018,0.009758631,-0.012307667,-0.03016399
9/04/2018,0.001525976,-0.012461092,-0.018255687
10/04/2018,-0.022854279,-0.032597349,-0.012396769
11/04/2018,-0.031185051,-0.021739087,-0.036262102
12/04/2018,-0.00214587,0.019999959,0.030390806
13/04/2018,-0.013978507,-0.001089291,-0.011236115
16/04/2018,0.044165728,0,0.003551262
17/04/2018,-0.048563986,-0.005452521,0.004953953
18/04/2018,0.044456718,0.039473665,0.017605665
19/04/2018,-0.007356873,-0.014767902,0.000692082
20/04/2018,-0.034409722,-0.014989384,-0.0055325
23/04/2018,0,0,0
24/04/2018,-0.037280719,0.015217485,-0.005563362
25/04/2018,-0.018223218,-0.038543939,-0.009790204
26/04/2018,-0.008700674,-0.023385285,0.002118685
27/04/2018,0.018139231,0.004560994,0
30/04/2018,-0.04022982,-0.040862702,-0.02114172
1/05/2018,0,0,0
2/05/2018,0.021556808,0.001183463,-0.021598174
3/05/2018,-0.01817113,-0.036642918,-0.022075128
4/05/2018,-0.014328345,0.022085772,-0.02934549
7/05/2018,0.005451251,-0.019207576,-0.024806005
8/05/2018,-0.03433733,-0.001224092,0.00079477
9/05/2018,0.028696136,0.020833326,0.041302789
10/05/2018,0.001212884,0.043217268,0.006102117
11/05/2018,-0.010902502,-0.020713422,-0.006823483
14/05/2018,0.026944307,0.005875395,0.011450422
15/05/2018,-0.004174102,-0.022196184,-0.018113109
16/05/2018,-0.010179645,0.00836315,-0.000768593
17/05/2018,-0.017543914,-0.00710899,0
18/05/2018,0.003694548,0.01670641,0.002307737
21/05/2018,0.03619633,-0.004694692,-0.002302423
22/05/2018,-0.008880972,0.009433807,0.000769184
23/05/2018,-0.007168395,-0.010514031,-0.01921593
24/05/2018,-0.05776179,0.00826448,0.018808765
25/05/2018,0.060025577,0.010538654,-0.020000079
28/05/2018,0.056024113,0.019698719,0.038461376
29/05/2018,-0.002281855,-0.023863556,-0.024943255
30/05/2018,-0.008576308,-0.022118796,-0.02403095
31/05/2018,-0.040369132,-0.038095364,-0.03653682
1/06/2018,-0.004807688,-0.042079057,-0.028854112
4/06/2018,-0.015096619,-0.003875924,0.009338007
5/06/2018,-0.019006712,-0.018158346,-0.01850313
6/06/2018,-0.045000017,-0.014531052,-0.003427692
7/06/2018,-0.007853396,0.025469157,0.008598551
8/06/2018,-0.110817963,-0.031372487,-0.005967652
11/06/2018,0.045252272,0.006747586,0.010291692
12/06/2018,-0.060326499,-0.009383321,-0.009337906
13/06/2018,-0.031722061,-0.010825572,-0.026563773
14/06/2018,0.003120122,-0.008207841,0.022006871
15/06/2018,0,0,0
18/06/2018,-0.024883336,-0.006896656,-0.013435372
19/06/2018,0.021531137,0.012500174,0.014323822
20/06/2018,-0.012490304,-0.001371857,0.023830708
21/06/2018,0.024505963,-0.002747247,0.008620571
22/06/2018,-0.008487628,0.01652905,-0.017948613
25/06/2018,-0.02256809,-0.043360498,0.014795453
26/06/2018,0.033439419,0.024079312,0.002572883
27/06/2018,0.060862939,0.035961358,0.042771611
28/06/2018,-0.006535959,-0.002670221,0.008203333
29/06/2018,-0.013888928,0.009370759,-0.011391277
2/07/2018,0.03558195,-0.003978734,-0.00823034
3/07/2018,-0.010737335,-0.014647145,0.009958446
4/07/2018,0.005788707,0.012162175,0.019720793
5/07/2018,0.032374156,0.016021252,0.025785279
6/07/2018,0.002787454,0,0.003927677
9/07/2018,0.044475287,0.009198367,0.0093898
10/07/2018,-0.048569498,-0.05729163,-0.059689723
11/07/2018,-0.053846185,-0.074585567,-0.070074378
12/07/2018,0.053954214,-0.013432766,-0.011524789
13/07/2018,0.030154232,-0.010590036,-0.004484244
16/07/2018,0.027910198,-0.006116282,-0.000900826
17/07/2018,0.052980081,0.024615423,0.00811537
18/07/2018,0.012578665,-0.006006079,0.029516922
19/07/2018,-0.001242264,-0.004531584,-0.004344191
20/07/2018,-0.000621905,0.00606979,0.027050894
23/07/2018,0.029869294,0.033182434,0.007646513
24/07/2018,-0.0356495,-0.046715316,-0.038786026
25/07/2018,0.070802012,0.073506915,0.024561601
26/07/2018,-0.038033915,-0.002853061,0.049657667
27/07/2018,0.013990239,0.011444898,0.008972086
30/07/2018,0.008398284,0.011315313,0.012934473
31/07/2018,0.027364724,0.009790231,0.028731247
1/08/2018,-0.00868556,-0.019390543,0.026376725
2/08/2018,-0.012266412,-0.046610196,-0.065759431
3/08/2018,0.028385544,0.0207407,0.005663616
6/08/2018,-0.022426648,-0.030478854,-0.015285816
7/08/2018,0.016470629,0.040419122,0.025326772
8/08/2018,0.003472191,0.027338198,-0.003983916
9/08/2018,0.002306748,-0.001400677,-0.007199956
10/08/2018,-0.018411951,-0.057503434,-0.01611628
13/08/2018,-0.029894504,-0.083333333,0.018018324
14/08/2018,0.037462288,0.004870166,-0.051488608
15/08/2018,-0.073383822,-0.063004854,-0.094147519
16/08/2018,-0.018227528,-0.02413798,-0.038389465
17/08/2018,-0.021766975,0.024735033,0.067185913
20/08/2018,0.047120437,0.024137783,0.00821163
21/08/2018,0,0,0
22/08/2018,0,0,0
23/08/2018,0,0,0
24/08/2018,0,0,0
27/08/2018,0.027500033,-0.011784441,0.021719539
28/08/2018,0.020681274,0.032368054,0.000885666
29/08/2018,-0.011323035,-0.013201387,-0.021238915
30/08/2018,0,0,0
31/08/2018,-0.018685923,-0.031772655,-0.037070689
3/09/2018,0.051597059,0.017271222,-0.007511657
4/09/2018,-0.010514036,-0.011884478,-0.015137239
5/09/2018,0.01829985,-0.02577329,-0.011527087
6/09/2018,-0.0052174,-0.00705466,0.009717925
7/09/2018,0.000582764,0.015985708,0.041385967
10/09/2018,-0.008153721,-0.026223776,-0.006469391
11/09/2018,0.052260678,0,-0.011162724
12/09/2018,0.004464281,-0.030520435,-0.019755508
13/09/2018,0.009444449,0.053703537,0.084452956
14/09/2018,-0.022564659,0.029877069,-0.00707957
17/09/2018,-0.001126152,-0.006825925,0.025418641
18/09/2018,0.023675315,0.003436419,0.004460227
19/09/2018,0.01376652,0.080479433,-0.011545196
20/09/2018,-0.017925037,-0.031695747,0.018867804
21/09/2018,0.023783203,0.034369956,0.022927897
24/09/2018,0.040518638,0.064873328,-0.005172422
25/09/2018,-0.020768412,-0.017830489,0.001733072
26/09/2018,0.019087948,0.004538525,-0.013840984
27/09/2018,-0.004162327,0.043674652,0.003508911
28/09/2018,0,-0.001442957,0.010489528
1/10/2018,-0.026123303,-0.037572259,-0.005190418
2/10/2018,-0.028969905,-0.022522605,0.010434899
3/10/2018,-0.018784538,-0.023041473,0
4/10/2018,-0.034346881,-0.075471549,-0.052495766
5/10/2018,0.024489801,0.025510004,-0.013623847
8/10/2018,0.013659634,0.059701566,-0.009208152
9/10/2018,-0.008983709,0.004694782,-0.009293625
10/10/2018,-0.053257822,-0.009345776,-0.000938283
11/10/2018,-0.016756361,0.004717017,-0.006572551
12/10/2018,0.054777821,0.03129902,0.005670872
15/10/2018,0.042700506,0.074354969,0.021616384
16/10/2018,-0.036524619,-0.012711799,0.011959735
17/10/2018,-0.049396934,0.050071549,0.007272705
18/10/2018,0.000604243,-0.020436041,-0.028880779
19/10/2018,-0.024758446,-0.0125174,0.023234115
22/10/2018,-0.028482975,-0.004225303,-0.017257154
23/10/2018,-0.012109598,-0.025459798,-0.022180872
24/10/2018,0.003870995,-0.005805421,0.043478042
25/10/2018,0.023136224,-0.01605832,0.048007245
26/10/2018,-0.025753759,-0.050445251,0.012964635
29/10/2018,0,0,0
30/10/2018,-0.056092835,0.037500105,-0.022184305
31/10/2018,-0.043032794,-0.022590444,-0.020069957
1/11/2018,0.043540303,0.078582411,0.060552372
2/11/2018,0.035567747,0.007142965,0.000839521
5/11/2018,0.009246987,0.049645409,0.004194749
6/11/2018,-0.03664918,-0.016216337,0
7/11/2018,0.059103252,0.015109978,-0.020885659
8/11/2018,-0.060295095,-0.012178711,-0.00597269
9/11/2018,0.035494913,-0.009588983,0
12/11/2018,-0.023731025,-0.024896215,-0.022317601
13/11/2018,0.047265347,0.018439719,0.00438984
14/11/2018,0.040618901,0.009749244,0.02622372
15/11/2018,0.003717557,-0.004137962,0.003407
16/11/2018,-0.014197561,0.019390701,0.00509358
19/11/2018,0.02442081,0.01494566,0.017736468
20/11/2018,-0.029951143,-0.029451229,-0.040663859
21/11/2018,0.033396329,0.008275767,0.016435899
22/11/2018,-0.007926778,0,0.021276616
23/11/2018,0.037492236,0.012312073,0.021666766
26/11/2018,0.008886347,0.016216182,0.028547908
27/11/2018,0.002348738,-0.006648885,0.010309192
28/11/2018,0.009373161,-0.005354817,0.00157001
29/11/2018,-0.015670369,0.010767215,0.009404405
30/11/2018,0.005306613,0.018641696,-0.023291878
3/12/2018,-0.041642177,-0.009150271,0.020667821
4/12/2018,-0.023255821,-0.034300722,-0.030373836
5/12/2018,0.025062692,-0.046448223,0.006425592
6/12/2018,0.001222405,-0.045845182,-0.019952043
7/12/2018,-0.013430972,0.033032965,0.00570032
10/12/2018,-0.002475186,-0.020348714,-0.012145906
11/12/2018,-0.006823859,-0.007418509,-0.004098291
12/12/2018,-0.047470345,-0.035874538,0.035390992
13/12/2018,0.005245897,-0.007751879,-0.007949169
14/12/2018,-0.028049596,-0.012499886,-0.013621743
17/12/2018,-0.010067089,0.014240522,-0.001008306
18/12/2018,0.046101716,0.03744133,0.003330474
19/12/2018,0.049902815,0.015037651,0.011618197
20/12/2018,0.008641937,0.004444393,-0.015586453
21/12/2018,0.00244792,0.011799471,-0.001666763
24/12/2018,-0.012820458,-0.001457681,0.023372537
25/12/2018,0.001236887,-0.01605832,0.009787863
26/12/2018,-0.001853038,0.008901889,-0.004846629
27/12/2018,0.004331664,0.005882425,-0.028408943
28/12/2018,-0.014787417,0.004385831,0.002506133
31/12/2018,0.006879338,0,0.019166672
1/01/2019,0,0,0
2/01/2019,-0.026086961,-0.04803472,-0.037612348
3/01/2019,-0.033801064,-0.012071424,0.011894678
4/01/2019,-0.003960361,0.057761728,-0.007556741
7/01/2019,-0.001988054,0.013651855,0.044839326
8/01/2019,0.001992014,-0.015151501,0.026720492
9/01/2019,-0.007952279,-0.025641058,0
10/01/2019,-0.000668018,0.00701749,-0.008675059
11/01/2019,0.006684517,0.024390356,0.013524256
14/01/2019,-0.00265604,0.018707401,0.005494564
15/01/2019,-0.027962721,0.003338995,0.04137382
16/01/2019,-0.013013735,0.08153074,0.026236912
17/01/2019,-0.013185259,0.020000015,0.010226632
18/01/2019,0.014767935,-0.012066346,0.028922385
21/01/2019,0.004850984,-0.016793894,-0.007027271
22/01/2019,-0.006896578,0.021739076,0.023354509
23/01/2019,0.018055572,-0.012158036,0.002766183
24/01/2019,0.004774877,-0.001538544,-0.006206875
25/01/2019,-0.002715544,0.006163432,0.00346986
28/01/2019,0.02518726,-0.003062801,-0.01106496
29/01/2019,0.008632082,0.050691247,0.031468576
30/01/2019,0.041474663,0.032163745,-0.007457609
31/01/2019,-0.024020235,0.004249311,-0.004781546
